product_id,representation,median_R,mean_R,p90_R,max_R,support_min,support_max,raw_spearman,raw_max_abs_diff,direction_match,direction_B
100062XXC08D,Q2,0.0072974827522478206,0.007161932479751042,0.012556478023510988,0.03038007365075368,1584,327008,0.9176629354822471,0.026150213797243707,1,1.0
100062XXC08D,Q4,0.0035550012823217098,0.0041131298046393604,0.006341478442104731,0.012482035948669812,1584,327008,0.7,0.02136429740735251,1,1.0
100073AAA08U,Q2,0.004163650352055154,0.005766253294042531,0.009187737119880156,0.02958135126153949,235,35982,-0.22941573387056177,0.03860101813495094,0,-1.0
100073AAA08U,Q4,0.010269191489743479,0.010621378377253824,0.016619650076132392,0.03490551160954822,235,35982,0.09999999999999999,0.006721008869472078,1,1.0
100073AAA09A,Q2,0.00262738694152867,0.0031700083046576825,0.0038142290731899564,0.02076102042394068,895,56609,0.8885233166386386,0.034517965087030464,1,1.0
100073AAA09A,Q4,0.0037826793645666587,0.006252078174545114,0.010791633644585324,0.018594042834652658,895,56609,0.19999999999999998,0.0082931273740319,0,1.0
100074AAA08U,Q2,0.010978989529729422,0.010447112030844431,0.015512184654841672,0.03300688029560683,4,21509,-0.22941573387056177,0.01963059385736901,0,-1.0
100074AAA08U,Q4,0.01152493544194206,0.011466105206066057,0.020946103650901132,0.03869769890201877,4,21509,0.7,0.02294123749180335,1,1.0
100075AAA08U,Q2,0.00262738694152867,0.003125369486903481,0.0038142290731899564,0.02076102042394068,16,63836,0.8885233166386386,0.03181929924174769,1,1.0
100075AAA08U,Q4,0.00409454738988857,0.006559045057622683,0.010791633644585324,0.02020983495534237,16,63836,0.7999999999999999,0.005457046125219828,1,1.0
100076AAA08Y,Q2,0.01018860974325031,0.01102168495826378,0.023799561870805563,0.030439050786081695,200,110778,0.8944271909999157,0.021576490566967102,1,1.0
100076AAA08Y,Q4,0.007376260268525066,0.007454855877199609,0.012441189044428168,0.031722224904362606,200,110778,-0.6,0.024530699690706106,0,1.0
100076AAA08Z,Q2,0.009093704329919444,0.01008783280501217,0.018392214174974324,0.03156055100995203,30,93703,0.9176629354822471,0.024712196465938724,1,1.0
100076AAA08Z,Q4,0.01407804358988933,0.013503071348614948,0.020810388557888915,0.032210829455592505,30,93703,0.6,0.021307240426026802,1,1.0
100076AAK08W,Q2,0.00982254341940271,0.010764329235743124,0.023799561870805563,0.030439050786081695,132,66476,0.8944271909999157,0.01851292682083948,1,1.0
100076AAK08W,Q4,0.007501922997865923,0.007474537172953969,0.012057162857627864,0.028893160615101277,132,66476,0.8999999999999998,0.012430526413283752,1,1.0
100076AAK08X,Q2,0.00891231401184224,0.00986166822645625,0.017588319288268303,0.03407963894004007,118,64809,0.8944271909999157,0.05103945125283074,1,1.0
100076AAK08X,Q4,0.006918079507371812,0.007193614213337025,0.0118385918890229,0.029383825308323952,118,64809,0.9746794344808964,0.04455928469279832,1,1.0
100097FPA05P,Q2,0.003301818929688144,0.005152463909560851,0.014312715282051997,0.021557867386398782,3000,700000,0.9176629354822471,0.030369726294760688,1,1.0
100097FPA05P,Q4,0.0044445118478373055,0.006642324144624222,0.01712077535073117,0.02652257138524111,3000,700000,0.36842105263157904,0.04057592591725742,1,-1.0
100110AAA06Z,Q2,0.010719084305624405,0.010508144301586768,0.018288632958989692,0.03401011988102498,1200,218915,0.8029550685469662,0.0034601006258167394,1,1.0
100110AAA06Z,Q4,0.008452549833405931,0.008993116062166994,0.014517572056015738,0.018333937558482907,1200,218915,0.8999999999999998,0.004227008948033073,1,1.0
100165AAA0DU,Q2,0.002465472871233887,0.004257348633220649,0.011644836628607394,0.014313474678248728,425,67567,0.7254762501100117,0.0038398916109785436,1,1.0
100165AAA0DU,Q4,0.011412618480428863,0.012144403543376493,0.01970890453177415,0.02731664688849078,425,67567,0.9746794344808963,0.020848613634971078,1,1.0
100352XUZ0B9,Q2,0.004420209398256034,0.005028090608180222,0.007739396173766344,0.00969254364810665,3,2000,0.7254762501100117,0.024390465108717133,1,1.0
100352XUZ0B9,Q4,0.005802078572159863,0.007393925324566914,0.01496491207859431,0.016774114146245495,3,2000,0.10526315789473685,0.023019472362973442,1,1.0
